symbol,hourly_rate,annual_rate,mark_price,open_interest
BERA,-0.0172735,-151.31586000000001,0.86321,3796980.0000000005
TST,0.0041604,36.445104,0.016439,78632758.0
LAYER,-0.00298133,-26.116450799999996,0.19135,4251974.0
IP,-0.0114435,-100.24506,2.1878,1004203.8
OM,-0.03964189,-347.2629564,0.07499,21437208.2
KAITO,-0.0153763,-134.696388,0.6582,2807104.0
NIL,0.00031456,2.7555456000000005,0.074543,4687948.0
PAXG,0.00125,10.95,4224.9,12549.96
PROMPT,0.00125,10.95,0.052936,15273164.0
BABY,-0.0077493300000000005,-67.88413080000001,0.018157,16530736.0
WCT,-0.02284316,-200.1060816,0.089337,5675398.0
HYPER,0.00125,10.95,0.12128,3523568.0
ZORA,-0.00656972,-57.550747199999996,0.046412,90521884.0
INIT,0.00125,10.95,0.096827,8245824.0
DOOD,-0.05737031,-502.5639156,0.003952,103730854.0
LAUNCHCOIN,0.0,0.0,0.060367,0.0
NXPC,0.00125,10.95,0.44106,1634664.0
SOPH,-0.00510325,-44.70447,0.015659,37787196.0
RESOLV,-0.03084728,-270.2221728,0.070776,22119630.0
SYRUP,-0.00290587,-25.455421200000004,0.24958,4227968.0
PUMP,0.00125,10.95,0.002861,20551898076.0
PROVE,0.00125,10.95,0.42985,1948618.0
YZY,0.00125,10.95,0.37058,1782710.0
XPL,0.00125,10.95,0.181,207242492.0
WLFI,-0.007727599999999999,-67.69377599999999,0.15604,135134550.0
LINEA,0.00125,10.95,0.008838,248633024.0
SKY,-0.00449656,-39.3898656,0.053698,35704778.0
ASTER,0.00125,10.95,0.98311,66238034.0
AVNT,-0.00587415,-51.457553999999995,0.32459,6999484.0
STBL,0.00125,10.95,0.059231,32705402.0
0G,0.00095722,8.3852472,1.1987,1205326.0
HEMI,-8.337e-05,-0.7303212,0.01376,28231722.0
APEX,0.00125,10.95,0.5327,4167826.0
2Z,-0.00018790999999999998,-1.6460915999999997,0.10629,13511242.0
ZEC,0.00125,10.95,327.28,419099.36
MON,0.00125,10.95,0.029067,1648890446.0
MET,0.00125,10.95,0.29578,28942018.0
MEGA,0.00125,10.95,0.33707,12188464.0
CC,0.00125,10.95,0.076338,25833412.0
ICP,-0.0035098,-30.745848,3.6909,455322.0
AERO,-0.0035664200000000003,-31.2418392,0.59169,2839684.0
