address,symbol,name,liquidity_usd,volume_24h_usd,volume_1h_usd,volume_1h_percent,holder_count,price_change_24h,current_price,three_day_low,price_vs_3d_low,pool_age_hours,volume_surge,market_cap,fdv,buy_24h,sell_24h,unique_wallet_24h,screened_at,birdeye_link,dexscreener_link,chain,period_low,price_vs_low
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,Jupiter Perps LP,20910959.44525828,52342378.05113381,1274369.8560431008,2.43,64749,0.08,4.823079464314809,4.4092632993402585,1.094,established,True,1756666395.4507878,1756661262.8392117,80215,80628,4258,2025-12-04T14:20:38.149129,https://birdeye.so/token/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4?chain=solana,https://dexscreener.com/solana/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,,,
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,OFFICIAL TRUMP,299621333.4977817,36958086.53606297,1463913.8466712944,3.96,631893,-0.11,6.087213621818418,5.608692802501664,1.085,established,True,1217437961.6921058,6087209022.970657,10370,9633,2454,2025-12-04T14:20:39.697158,https://birdeye.so/token/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN?chain=solana,https://dexscreener.com/solana/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,,,
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,USDT,159407367.23882237,404358573.54651725,13456216.06962774,3.33,2673520,-0.03,0.9999948223959514,0.9983156540087956,1.002,established,True,2739903087.5691466,2739903087.5691466,357335,381799,30830,2025-12-04T14:22:26.006865,https://birdeye.so/token/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB?chain=solana,https://dexscreener.com/solana/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,,,
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,Coinbase Wrapped BTC,22889422.8377534,74791257.49688572,1193283.365957274,1.6,52962,-0.83,93046.46659377524,83807.41146808272,1.11,established,True,405928917.005176,405928917.0023845,110350,108198,4328,2025-12-04T14:22:26.845091,https://birdeye.so/token/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij?chain=solana,https://dexscreener.com/solana/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,,,
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,Jupiter Perps LP,20910959.445258275,52475383.67528893,1339936.910922302,2.55,64749,0.07,4.824454975539668,4.4092632993402585,1.094,established,True,1757167385.4019492,1757162251.3265853,80321,80727,4259,2025-12-04T14:22:28.641775,https://birdeye.so/token/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4?chain=solana,https://dexscreener.com/solana/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,,,
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,OFFICIAL TRUMP,299621334.98631954,36958318.4986988,1464048.6170451366,3.96,631893,0.11,6.085784479750045,5.608692802501664,1.085,established,True,1217152134.3966002,6085779881.981991,10373,9635,2453,2025-12-04T14:22:30.280298,https://birdeye.so/token/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN?chain=solana,https://dexscreener.com/solana/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,,,
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,USDT,159407367.23882237,405226332.3017921,13908114.654945452,3.43,2673528,0.01,1.00031,0.9983156540087956,1.002,established,True,2740766648.130787,2740766648.130787,358329,382955,30825,2025-12-04T14:27:03.353680,https://birdeye.so/token/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB?chain=solana,https://dexscreener.com/solana/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,solana,,
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,Coinbase Wrapped BTC,23044486.67221324,74896869.46375418,1207059.7031563711,1.61,52957,-0.75,93196.64796147436,83807.41146808272,1.112,established,True,406584105.34468186,406584105.3418859,110594,108422,4327,2025-12-04T14:27:04.209514,https://birdeye.so/token/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij?chain=solana,https://dexscreener.com/solana/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,solana,,
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,Jupiter Perps LP,20910959.44525828,52672794.9818686,1407254.7105239765,2.67,64751,0.21,4.832556641436461,4.4092632993402585,1.096,established,True,1760118181.5340395,1760113038.8370671,80555,80983,4247,2025-12-04T14:27:05.704849,https://birdeye.so/token/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4?chain=solana,https://dexscreener.com/solana/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,solana,,
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,OFFICIAL TRUMP,299474866.0302929,36959052.92823824,1463720.0101175597,3.96,631897,0.03,6.089446927777927,5.608692802501664,1.086,established,True,1217884621.1366558,6089442327.242919,10408,9667,2455,2025-12-04T14:27:07.247272,https://birdeye.so/token/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN?chain=solana,https://dexscreener.com/solana/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,solana,,
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,Wrapped Bitcoin,534944649.55746245,171504838.65946627,3251486.0758639844,1.9,148926,-0.83,92993.44920288766,83160.15946226689,1.118,established,True,11620785851.257357,11620785851.257357,13772,14367,2800,2025-12-04T14:27:18.263015,https://birdeye.so/token/0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599?chain=ethereum,https://dexscreener.com/ethereum/0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,ethereum,,
0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,SUSDE,Ethena Staked USDe,29079193.412809107,79186730.370529,284666.6964333501,0.36,12351,-0.01,1.206723414699817,1.205708876261695,1.001,established,True,3755657134.4403768,3755657134.4403768,613,558,327,2025-12-04T14:27:19.063658,https://birdeye.so/token/0x9D39A5DE30e57443BfF2A8307A4256c8797A3497?chain=ethereum,https://dexscreener.com/ethereum/0x9D39A5DE30e57443BfF2A8307A4256c8797A3497,ethereum,,
0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,USDE,Ethena USDe,43891300.60948339,51431827.823727086,613215.6155859285,1.19,37173,0.05,0.9997004171305646,0.9803004310507732,1.02,established,True,6885063425.829012,6885063425.829012,904,995,531,2025-12-04T14:27:19.896223,https://birdeye.so/token/0x4c9EDD5852cd905f086C759E8383e09bff1E68B3?chain=ethereum,https://dexscreener.com/ethereum/0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,ethereum,,
0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,CBBTC,Coinbase Wrapped BTC,42454778.04243053,40487159.67472651,600967.1470312611,1.48,72366,-0.76,93202.56892310508,83712.57539697818,1.113,established,True,3845770502.648213,3845770502.648213,888,857,486,2025-12-04T14:27:21.531929,https://birdeye.so/token/0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf?chain=ethereum,https://dexscreener.com/ethereum/0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,ethereum,,
0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,SUSDS,sUSDS,35594061.25045615,36965523.41057493,261281.33306118136,0.71,5138,0.01,1.077741243285557,1.0772510770302703,1.0,established,True,4244038265.827673,4244038265.827673,536,552,192,2025-12-04T14:27:22.332512,https://birdeye.so/token/0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD?chain=ethereum,https://dexscreener.com/ethereum/0xa3931d71877C0E7a3148CB7Eb4463524FEc27fbD,ethereum,,
0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,CRVUSD,crvUSD,278507845.27378494,20001167.49187164,294722.8540440435,1.47,93845,-0.04,0.9998908243516106,0.9876253545697388,1.012,established,True,1380658453.2266655,1380658453.2266655,2717,2406,750,2025-12-04T14:27:24.794275,https://birdeye.so/token/0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E?chain=ethereum,https://dexscreener.com/ethereum/0xf939E0A03FB07F59A73314E73794Be0E57ac1b4E,ethereum,,
0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,GHO,GHO,5473561.603450278,12830202.38012321,105118.27159706346,0.82,6590,0.02,1.0000636437969674,0.9983763867908704,1.002,established,True,428234404.6379821,428234404.6379821,279,302,228,2025-12-04T14:27:25.626707,https://birdeye.so/token/0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f?chain=ethereum,https://dexscreener.com/ethereum/0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,ethereum,,
0x18084fbA666a33d37592fA2633fD49a74DD93a88,TBTC,tBTC,27164803.6443055,12503723.213143488,693230.8387758315,5.54,19880,-0.73,92889.72363417508,83621.66884419225,1.111,established,True,572293952.2116407,572293952.2116407,643,728,302,2025-12-04T14:27:26.460186,https://birdeye.so/token/0x18084fbA666a33d37592fA2633fD49a74DD93a88?chain=ethereum,https://dexscreener.com/ethereum/0x18084fbA666a33d37592fA2633fD49a74DD93a88,ethereum,,
